Date,Open,High,Low,Close,Adj Close,Volume
2018-02-14,76.62,76.66,75.45,75.48,53.96,4563000
2018-02-15,74.77,76.21,74.66,76.2,55.12,3923800
2018-02-16,76.07,76.89,75.77,76.7,55.48,3796600
2018-02-20,76.21,76.62,74.82,75.69,54.75,4017000
2018-02-21,75.58,76.5,75.3,75.33,54.49,4242800
2018-02-22,75.48,76.25,75.17,75.54,54.65,3103900
2018-02-23,75.45,77.3,75.38,77.22,55.86,2839100
2018-02-26,79.11,79.63,77.65,77.92,56.37,5253800
2018-02-27,77.88,78.29,76.33,76.33,55.22,4088600
2018-02-28,76.02,76.56,75.31,75.34,54.5,3321700
2018-03-01,75.35,76.82,75.16,75.56,54.66,3209700
2018-03-02,75.46,76.3,74.58,75.35,54.51,3631400
2018-03-05,75.22,77.67,74.87,77.49,56.06,3840600
2018-03-06,77.23,77.39,75.63,75.86,54.88,3655400
2018-03-07,75.41,75.7,74.93,75.25,54.44,9936900
2018-03-08,75.53,76.03,75.24,75.99,54.97,4733900
2018-03-09,75.9,76.15,75.52,76.13,55.07,3870100
2018-03-12,76.12,76.73,76.06,76.55,55.38,3581800
2018-03-13,76.9,77.33,76.19,76.47,55.32,6365000
2018-03-14,76.71,77.33,76.45,77.0,55.7,3788900
2018-03-15,76.87,77.63,76.29,76.74,55.51,4619000
2018-03-16,76.9,77.73,76.74,77.59,56.13,6667100
2018-03-19,77.8,77.87,76.71,77.04,55.73,5503500
2018-03-20,77.02,77.37,76.33,76.43,55.29,3888500
2018-03-21,76.43,77.22,75.84,76.18,55.11,4051400
2018-03-22,76.34,77.53,76.08,76.19,55.12,3704800
2018-03-23,76.52,76.92,75.03,75.17,54.38,3033400
2018-03-26,75.3,76.07,75.23,75.92,54.92,2805900
2018-03-27,75.99,77.69,75.77,77.1,55.77,4338900
2018-03-28,77.32,77.76,76.56,77.42,56.01,4543200
2018-03-29,77.09,77.91,77.04,77.47,56.04,3962500
2018-04-02,77.55,78.05,76.57,77.1,55.77,3741100
2018-04-03,77.0,77.64,76.68,77.26,55.89,2971400
2018-04-04,77.15,77.91,76.71,77.71,56.22,3467600
2018-04-05,77.69,78.79,76.76,78.6,56.86,3934200
2018-04-06,78.59,78.9,78.06,78.16,56.54,3411900
2018-04-09,78.14,79.05,78.04,78.47,56.76,3855100
2018-04-10,78.47,78.56,77.25,77.52,56.08,4187900
2018-04-11,77.35,77.78,76.79,77.08,55.76,2426800
2018-04-12,77.09,77.38,75.96,76.14,55.08,2369000
2018-04-13,76.27,76.99,76.26,76.67,55.46,3993200
2018-04-16,76.82,78.08,76.8,77.96,56.4,2402900
2018-04-17,78.01,78.75,77.79,78.5,56.79,1727800
2018-04-18,78.65,79.42,78.27,78.28,56.63,2057000
2018-04-19,78.16,78.61,77.85,78.52,56.8,2423300
2018-04-20,78.63,78.72,77.53,77.68,56.19,2764000
